&lt;	<	小于号
&gt;	>	大于号
&quot;	"	引号

&apos;	'	撇号
&nbsp;	 	无中断空格
&iexcl;	¡	竖翻叹号
&cent;	¢	分币标记
&pound;	£	英镑标记
&curren;	¤	货币标记
&yen;	¥	日元标记
&brvbar;	¦	间断条
&sect;	§	节标记
&uml;	¨	分音符
&copy;	©	版权所有标记
&ordf;	ª	阴性顺序指示符
&laquo;	«	左指双尖引号
&not;	¬	非标记
&shy;	软连字符
&reg;	®	注册标记
&macr;	¯	长音符
&deg;	°	度标记
&plusmn;	±	正负号
&sup2;	²	上标二
&sup3;	³	上标三
&acute;	´	锐音符
&micro;	µ	微单位标记
&para;	¶	段落标记
&middot;	·	中间点
&cedil;	¸	软音符
&sup1;	¹	上标一
&ordm;	º	阳性顺序指示符
&raquo;	»	右指双尖引号
&frac14;	¼	普通分数四分之一
&frac12;	½	普通分数二分之一
&frac34;	¾	普通分数四分之三
&iquest;	¿	竖翻问号
&Agrave;	À	带抑音符的拉丁文大写字母 A
&Aacute;	Á	带锐音符的拉丁文大写字母 A
&Acirc;	Â	带扬抑符的拉丁文大写字母 A
&Atilde;	Ã	带颚化符的拉丁文大写字母 A
&Auml;	Ä	带分音符的拉丁文大写字母 A
&Aring;	Å	带上圆圈的拉丁文大写字母 A
&AElig;	Æ	拉丁文大写字母 Ae
&Ccedil;	Ç	带软音符的拉丁文大写字母 C
&Egrave;	È	带抑音符的拉丁文大写字母 E
&Eacute;	É	带锐音符的拉丁文大写字母 E
&Ecirc;	Ê	带扬抑符的拉丁文大写字母 E
&Euml;	Ë	带分音符的拉丁文大写字母 E
&Igrave;	Ì	带抑音符的拉丁文大写字母 I
&Iacute;	Í	带锐音符的拉丁文大写字母 I
&Icirc;	Î	带扬抑符的拉丁文大写字母 I
&Iuml;	Ï	带分音符的拉丁文大写字母 I
&ETH;	Ð	拉丁文大写字母 Eth
&Ntilde;	Ñ	带颚化符的拉丁文大写字母 N
&Ograve;	Ò	带抑音符的拉丁文大写字母 O
&Oacute;	Ó	带锐音符的拉丁文大写字母 O
&Ocirc;	Ô	带扬抑符的拉丁文大写字母 O
&Otilde;	Õ	带颚化符的拉丁文大写字母 O
&Ouml;	Ö	带分音符的拉丁文大写字母 O
&times;	×	乘号
&Oslash;	Ø	带粗线的拉丁文大写字母 O
&Ugrave;	Ù	带抑音符的拉丁文大写字母 U
&Uacute;	Ú	带锐音符的拉丁文大写字母 U
&Ucirc;	Û	带扬抑符的拉丁文大写字母 U
&Uuml;	Ü	带分音符的拉丁文大写字母 U
&Yacute;	Ý	带锐音符的拉丁文大写字母 Y
